"";"geo";"time";"B1G__CLV15_MNAC";"B1G__CP_MEUR";"B1G__CP_MNAC";"D1__CP_MEUR";"D1__CP_MNAC";"D1_D4_MD5__I16";"D11__CP_MEUR";"D11__CP_MNAC";"D12__CP_MEUR";"D12__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"nace0";"nulc_va";"nulc_va_eur";"nulc_aper_va";"nulc_aper_va_eur";"nulc_hw_va";"nulc_hw_va_eur";"rulc_aper_va";"rulc_hw_va";"emp_ind";"lp_ind";"d1_per_ind";"va_ind";"nulc_va_rel_ecfin13";"nulc_va_eur_rel_ecfin13";"nulc_aper_va_rel_ecfin13";"nulc_aper_va_eur_rel_ecfin13";"nulc_hw_va_rel_ecfin13";"nulc_hw_va_eur_rel_ecfin13";"rulc_aper_va_rel_ecfin13";"rulc_hw_va_rel_ecfin13";"emp_ind_rel_ecfin13";"lp_ind_rel_ecfin13";"d1_per_ind_rel_ecfin13";"va_ind_rel_ecfin13"
"31";"AT";1999-10-01;60144,5;45822,2;45822,2;25318,3;25318,3;NA;20775,2;20775,2;4543,1;4543,1;1676046;3728,03;1327513;3217,25;"total";87,9447269295537;87,9447269295537;87,6605055613909;87,6605055613909;90,0188080691875;90,0188080691875;104,374736308857;107,182814642663;90,9726035085664;91,1850613505755;79,9362247238211;82,9500936808039;103,123125476626;102,773255558011;102,506444101631;102,158602858385;NA;NA;103,730171751065;NA;97,0702962929705;97,8109353225654;100,264726756177;94,9427680752888
"32";"AT";1999-10-01;10197,6;9268;9268;5478,8;5478,8;NA;4530,5;4530,5;948,2;948,2;278467;654,68;264332;632,11;"manu";101,867253881033;101,867253881033;102,266102329756;102,266102329756;102,825129534113;102,825129534113;108,138573208309;108,731841019638;106,99308699276;75,3966909736423;77,1507682798887;80,6588691258911;103,690478432508;103,336655575004;104,194213557129;103,838674580101;NA;NA;106,983202151888;NA;93,1102865336236;96,0977350122921;100,145755143018;89,4638038842727
"33";"AT";2000-01-01;61042,7;46928,5;46928,5;25572,4;25572,4;NA;21002,4;21002,4;4570;4570;1678618;3745,43;1329589;3232,14;"total";87,5203279154637;87,5203279154637;87,240879319483;87,240879319483;89,5817827019517;89,5817827019517;102,941035895361;105,703332573553;91,3972039814835;92,116880935306;80,3665316978162;84,1888731892228;102,628490360994;102,210775975682;102,061390779705;101,64591759941;NA;NA;102,219152488787;NA;96,8514838512106;98,2430834043181;100,270454309008;95,1472266436125
"34";"AT";2000-01-01;10359,9;9447,1;9447,1;5566,7;5566,7;NA;4604;4604;962,7;962,7;278867;654,39;264704;631,75;"manu";101,880103625144;101,880103625144;102,291953847002;102,291953847002;102,841090011538;102,841090011538;107,804157121765;108,385017090133;106,945692853291;76,6306123685144;78,4332182877625;81,9425961262767;104,325876061213;103,899121655013;104,849006335484;104,420114961324;NA;NA;105,528929610398;NA;92,6813776726687;96,0731329419162;100,749380930447;89,0286605280901
"35";"AT";2000-04-01;61490,8;47225,9;47225,9;25716,4;25716,4;NA;21140,1;21140,1;4576,3;4576,3;1689758;3753,43;1338611;3243,89;"total";87,3717855162104;87,3717855162104;86,9626950034934;86,9626950034934;89,4164935265159;89,4164935265159;102,715108291618;105,613504115025;91,5924225897213;92,595311446742;80,526338924636;84,8068837633961;102,33241499001;101,836646932879;101,656954288964;101,164391960696;NA;NA;102,228257189774;NA;96,5332929810768;98,399149800781;100,031770545567;94,9852866763273
"36";"AT";2000-04-01;10597,8;9660,7;9660,7;5583,8;5583,8;NA;4619,5;4619,5;964,3;964,3;280430;655,19;266004;632,53;"manu";99,8990272676997;99,8990272676997;100,301651508429;100,301651508429;100,910936486895;100,910936486895;105,743137167291;106,387569811374;107,076435307;78,2946065226982;78,5771359322058;83,8242883837735;103,419927079734;102,916765809395;103,939598550583;103,433911877144;NA;NA;105,202630812872;NA;92,4558143164897;96,4146821038698;100,230598294719;89,1277220690089
"37";"AT";2000-07-01;61820,2;47732;47732;25896,1;25896,1;NA;21279,2;21279,2;4617;4617;1692857;3751,96;1345103;3246,49;"total";87,5135174112003;87,5135174112003;86,9999187819879;86,9999187819879;89,2927450504304;89,2927450504304;102,214158840662;104,908062229172;91,5565511704576;93,1278079107638;81,0240961901008;85,2611856672852;101,860750801624;101,423772693445;101,089169765597;100,655435377508;NA;NA;101,714659731406;NA;96,0773094866609;98,7814047814637;99,8594900133673;94,9038653694656
"38";"AT";2000-07-01;10697,7;9759,2;9759,2;5647,9;5647,9;NA;4674,5;4674,5;973,4;973,4;278869;655,18;265083;632,69;"manu";100,102219841627;100,102219841627;100,478712684732;100,478712684732;100,902689735384;100,902689735384;105,849117652524;106,297846962411;107,074801026328;79,0338557103142;79,459073604605;84,6144567592419;103,628929008972;103,18218858526;104,147142139995;103,698170642185;NA;NA;106,219348428628;NA;92,026495110355;97,0764133202561;101,120030804558;89,3227343593995
"39";"AT";2000-10-01;62888,6;48859,4;48859,4;26132;26132;NA;21483,3;21483,3;4648,7;4648,7;1708516;3768,21;1351668;3251,37;"total";86,8104294649236;86,8104294649236;86,5446419603977;86,5446419603977;88,9605020142515;88,9605020142515;101,049791293311;103,870671530356;91,9530889684405;94,3287334797365;81,6394662248949;86,7347016178471;100,530822287187;100,182486200104;100,095220763252;99,7483282909113;NA;NA;100,463466810606;NA;96,1804730497182;99,8258824878608;99,9231268864382;96,0103244823357
"40";"AT";2000-10-01;11049,9;10109,8;10109,8;5652,3;5652,3;NA;4680,5;4680,5;971,7;971,7;281398;655,9;267278;633,26;"manu";96,9871016106403;96,9871016106403;97,3711384516523;97,3711384516523;97,839099525347;97,839099525347;102,278185540205;102,771751726882;107,192469234666;81,5462705341046;79,4493990787046;87,4002155364187;100,770921917323;100,419721569023;101,339178487569;100,986000534754;NA;NA;103,234982956865;NA;91,9358223100636;99,1503494571258;100,495760847585;91,1411322192561
